Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,5 ,4 ,5 ,11 ,2 ,1 ,0 ,0 ,0 ,28
Baja California ,1 ,3 ,6 ,3 ,14 ,20 ,39 ,10 ,3 ,0 ,0 ,0 ,99
Baja California Sur ,1 ,2 ,1 ,2 ,18 ,34 ,89 ,5 ,5 ,0 ,3 ,0 ,160
Campeche ,0 ,1 ,1 ,3 ,13 ,24 ,61 ,3 ,3 ,0 ,1 ,0 ,110
Coahuila ,1 ,1 ,1 ,0 ,10 ,17 ,33 ,3 ,5 ,1 ,0 ,0 ,72
Colima ,0 ,0 ,1 ,0 ,2 ,6 ,21 ,0 ,1 ,1 ,0 ,0 ,32
Chiapas ,1 ,7 ,7 ,12 ,35 ,77 ,113 ,28 ,10 ,9 ,7 ,0 ,306
Chihuahua ,1 ,4 ,24 ,56 ,97 ,138 ,638 ,76 ,100 ,45 ,22 ,0 ,1201
Distrito Federal ,0 ,10 ,26 ,34 ,54 ,68 ,175 ,21 ,8 ,5 ,8 ,0 ,409
Durango ,0 ,0 ,0 ,2 ,9 ,12 ,29 ,3 ,2 ,0 ,2 ,0 ,59
Guanajuato ,3 ,10 ,9 ,9 ,14 ,21 ,57 ,10 ,4 ,3 ,11 ,1 ,152
Guerrero ,0 ,4 ,2 ,7 ,15 ,15 ,63 ,16 ,13 ,3 ,4 ,0 ,142
Hidalgo ,17 ,24 ,42 ,46 ,22 ,50 ,155 ,15 ,13 ,3 ,9 ,0 ,396
Jalisco ,11 ,54 ,67 ,116 ,348 ,584 ,981 ,175 ,96 ,19 ,16 ,0 ,2467
México ,24 ,38 ,37 ,27 ,30 ,25 ,86 ,14 ,9 ,1 ,7 ,1 ,299
Michoacán ,1 ,2 ,7 ,11 ,34 ,60 ,151 ,13 ,20 ,5 ,8 ,2 ,314
Morelos ,1 ,2 ,5 ,6 ,15 ,19 ,55 ,12 ,7 ,5 ,2 ,0 ,129
Nayarit ,1 ,1 ,0 ,2 ,6 ,15 ,68 ,8 ,7 ,1 ,1 ,0 ,110
Nuevo León ,1 ,13 ,7 ,20 ,104 ,137 ,225 ,64 ,32 ,10 ,7 ,0 ,620
Oaxaca ,0 ,1 ,4 ,19 ,25 ,46 ,134 ,20 ,17 ,7 ,12 ,0 ,285
Puebla ,2 ,7 ,6 ,14 ,16 ,24 ,88 ,14 ,10 ,2 ,4 ,1 ,188
Querétaro ,1 ,1 ,3 ,3 ,7 ,9 ,37 ,4 ,3 ,0 ,1 ,0 ,69
Quintana Roo ,0 ,0 ,1 ,3 ,7 ,9 ,26 ,3 ,5 ,0 ,0 ,0 ,54
San Luis Potosí ,0 ,1 ,6 ,2 ,10 ,14 ,61 ,6 ,6 ,2 ,2 ,0 ,110
Sinaloa ,1 ,11 ,26 ,17 ,18 ,25 ,57 ,6 ,7 ,2 ,1 ,0 ,171
Sonora ,0 ,0 ,2 ,0 ,2 ,7 ,25 ,1 ,5 ,1 ,1 ,0 ,44
Tabasco ,0 ,3 ,3 ,9 ,17 ,34 ,82 ,8 ,8 ,2 ,0 ,0 ,166
Tamaulipas ,0 ,2 ,2 ,3 ,10 ,8 ,15 ,4 ,1 ,1 ,2 ,0 ,48
Tlaxcala ,0 ,4 ,6 ,6 ,11 ,22 ,56 ,6 ,6 ,1 ,0 ,0 ,118
Veracruz ,1 ,6 ,6 ,20 ,20 ,22 ,84 ,17 ,11 ,7 ,4 ,0 ,198
Yucatán ,0 ,4 ,0 ,7 ,10 ,21 ,48 ,9 ,5 ,0 ,2 ,0 ,106
Zacatecas ,1 ,3 ,13 ,16 ,48 ,41 ,63 ,25 ,16 ,10 ,3 ,0 ,239
TOTAL GLOBAL ,70 ,219 ,321 ,480 ,1045 ,1609 ,3826 ,601 ,439 ,146 ,140 ,5 ,8901
