Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3
Baja California ,23 ,13 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,38
Baja California Sur ,30 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30
Campeche ,45 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,58 ,106
Coahuila ,16 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,19
Colima ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7
Chiapas ,61 ,0 ,20 ,12 ,0 ,0 ,13 ,0 ,0 ,106
Chihuahua ,242 ,4 ,0 ,26 ,0 ,0 ,0 ,0 ,2 ,274
Distrito Federal ,80 ,1 ,50 ,0 ,0 ,0 ,0 ,0 ,7 ,138
Durango ,18 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,22
Guanajuato ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100
Guerrero ,83 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,87
Hidalgo ,70 ,0 ,3 ,8 ,129 ,0 ,3 ,0 ,0 ,213
Jalisco ,131 ,0 ,0 ,0 ,106 ,0 ,0 ,0 ,1266 ,1503
México ,53 ,3 ,0 ,0 ,93 ,0 ,0 ,0 ,4 ,153
Michoacán ,64 ,2 ,5 ,9 ,0 ,0 ,0 ,0 ,0 ,80
Morelos ,27 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,31
Nayarit ,11 ,2 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,17
Nuevo León ,29 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,80
Oaxaca ,48 ,0 ,1 ,8 ,5 ,0 ,0 ,0 ,0 ,62
Puebla ,46 ,5 ,1 ,4 ,0 ,0 ,0 ,0 ,10 ,66
Querétaro ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24
Quintana Roo ,32 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,34
San Luis Potosí ,24 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,28
Sinaloa ,6 ,0 ,3 ,3 ,26 ,0 ,5 ,0 ,1 ,44
Sonora ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20
Tabasco ,71 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,14 ,88
Tamaulipas ,22 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,3 ,29
Tlaxcala ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20
Veracruz ,66 ,2 ,6 ,7 ,0 ,0 ,1 ,0 ,0 ,82
Yucatán ,17 ,0 ,0 ,2 ,8 ,0 ,0 ,0 ,2 ,29
Zacatecas ,35 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,36
TOTAL GLOBAL ,1522 ,59 ,102 ,93 ,368 ,1 ,24 ,3 ,1397 ,3569
