Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,  129 ,  0 ,  0 ,N.A. ,  0 ,N.A. ,  0 ,N.A. ,  0 ,  129
Baja California ,  253 ,  4 ,  0 ,  0 ,N.A. ,N.A. ,  2 ,  1 ,  84 ,  344
Baja California Sur ,  123 ,  0 ,  1 ,N.A. ,N.A. ,N.A. ,  2 ,  0 ,N.A. ,  126
Campeche ,  399 ,  1 ,  1 ,  6 ,  0 ,  0 ,  1 ,  0 ,  31 ,  439
Coahuila ,  71 ,  4 ,  15 ,  7 ,  0 ,N.A. ,  2 ,N.A. ,  17 ,  116
Colima ,  232 ,  0 ,  0 ,N.A. ,  4 ,N.A. ,  0 ,  0 ,  0 ,  236
Chiapas ,  230 ,  1 ,  11 ,  39 ,N.A. ,  0 ,  9 ,  2 ,  3 ,  295
Chihuahua , 1 681 ,  1 ,  7 ,  33 ,N.A. ,N.A. ,  0 ,N.A. ,  8 , 1 730
Distrito Federal , 1 354 ,  0 ,  282 ,  2 ,  0 ,  0 ,  41 ,  1 ,  9 , 1 689
Durango ,  73 ,  0 ,  2 ,  16 ,  0 ,N.A. ,  0 ,N.A. ,  0 ,  91
Guanajuato ,  923 ,  1 ,  0 ,  0 ,N.A. ,  0 ,  2 ,N.A. ,  5 ,  931
Guerrero ,  527 ,  2 ,  5 ,  0 ,N.A. ,N.A. ,  0 ,  0 ,  0 ,  534
Hidalgo , 1 533 ,  0 ,  1 ,  12 ,  98 ,  0 ,  0 ,N.A. ,  0 , 1 644
Jalisco ,  519 ,  3 ,  0 ,  1 ,  27 ,  0 ,  1 ,  0 , 2 344 , 2 895
México ,  342 ,  17 ,  9 ,  0 ,  494 ,N.A. ,  9 ,N.A. ,  13 ,  884
Michoacán ,  661 ,  3 ,  0 ,  42 ,N.A. ,N.A. ,  1 ,  0 ,N.A. ,  707
Morelos ,  264 ,  0 ,  0 ,  0 ,N.A. ,N.A. ,  0 ,N.A. ,N.A. ,  264
Nayarit ,  909 ,  1 ,  1 ,  16 ,  49 ,N.A. ,  0 ,  0 ,  0 ,  976
Nuevo León ,  715 ,  2 ,  0 ,  1 ,  0 ,  8 ,  0 ,N.A. ,  269 ,  995
Oaxaca ,  641 ,  0 ,  7 ,  54 ,  94 ,  3 ,  22 ,  0 ,  1 ,  822
Puebla ,  747 ,  13 ,  0 ,  38 ,  0 ,  0 ,  5 ,N.A. ,  36 ,  839
Querétaro ,  523 ,  3 ,  3 ,  1 ,  0 ,N.A. ,N.A. ,N.A. ,  0 ,  530
Quintana Roo ,  155 ,  5 ,  11 ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,N.A. ,  171
San Luis Potosí ,  88 ,  3 ,  3 ,  13 ,N.A. ,  0 ,  0 ,N.A. ,  10 ,  117
Sinaloa ,  198 ,  0 ,  29 ,  6 ,  62 ,  0 ,  1 ,  0 ,  4 ,  300
Sonora ,  264 ,  0 ,  0 ,  0 ,N.A. ,N.A. ,  0 ,  0 ,  9 ,  273
Tabasco ,  330 ,  0 ,  12 ,N.A. ,N.A. ,  1 ,  0 ,  0 ,  33 ,  376
Tamaulipas ,  44 ,  2 ,  0 ,  7 ,  2 ,  0 ,  2 ,  0 ,  2 ,  59
Tlaxcala ,  235 ,  0 ,  0 ,  0 ,  0 ,N.A. ,  2 ,N.A. ,  0 ,  237
Veracruz ,  298 ,  3 ,  2 ,  39 ,  36 ,  0 ,  0 ,  3 ,N.A. ,  381
Yucatán ,  774 ,  1 ,  0 ,  35 ,  3 ,N.A. ,  3 ,  0 ,  0 ,  816
Zacatecas , 1 346 ,  1 ,  0 ,  16 ,  0 ,N.A. ,  0 ,N.A. ,  2 , 1 365
TOTAL GLOBAL , 16 581 ,  71 ,  402 ,  384 ,  869 ,  12 ,  105 ,  7 , 2 880 , 21 311
