Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,3.46 ,35 ,0 ,3 ,2 ,8 ,4 ,1 ,5 ,4 ,3 ,1 ,4 ,0
Baja California ,8.83 ,246 ,9 ,8 ,47 ,17 ,21 ,20 ,23 ,25 ,18 ,33 ,16 ,9
Baja California Sur ,23.08 ,110 ,9 ,4 ,5 ,9 ,7 ,7 ,18 ,6 ,6 ,11 ,8 ,20
Campeche ,46.13 ,346 ,25 ,43 ,39 ,26 ,37 ,26 ,39 ,31 ,14 ,19 ,21 ,26
Coahuila ,9.44 ,234 ,137 ,3 ,10 ,16 ,9 ,10 ,19 ,6 ,5 ,5 ,9 ,5
Colima ,3.47 ,20 ,4 ,2 ,1 ,0 ,1 ,2 ,0 ,0 ,0 ,4 ,1 ,5
Chiapas ,8.50 ,365 ,24 ,20 ,29 ,28 ,16 ,60 ,40 ,25 ,23 ,30 ,19 ,51
Chihuahua ,13.04 ,432 ,42 ,22 ,33 ,28 ,33 ,53 ,99 ,33 ,20 ,28 ,20 ,21
Distrito Federal ,6.93 ,611 ,50 ,57 ,40 ,67 ,42 ,57 ,44 ,61 ,45 ,65 ,48 ,35
Durango ,7.91 ,122 ,44 ,6 ,6 ,6 ,7 ,13 ,7 ,8 ,2 ,7 ,7 ,9
Guanajuato ,4.01 ,200 ,21 ,16 ,15 ,28 ,26 ,14 ,22 ,14 ,16 ,8 ,8 ,12
Guerrero ,7.54 ,244 ,18 ,35 ,12 ,25 ,52 ,20 ,7 ,17 ,9 ,15 ,24 ,10
Hidalgo ,21.23 ,499 ,35 ,39 ,45 ,64 ,51 ,46 ,46 ,40 ,44 ,46 ,24 ,19
Jalisco ,58.95 ,3950 ,183 ,200 ,169 ,320 ,200 ,382 ,424 ,407 ,460 ,552 ,381 ,272
México ,4.09 ,581 ,34 ,28 ,28 ,41 ,52 ,41 ,50 ,53 ,56 ,44 ,143 ,11
Michoacán ,9.79 ,411 ,48 ,39 ,37 ,35 ,35 ,30 ,30 ,54 ,19 ,39 ,23 ,22
Morelos ,2.86 ,48 ,1 ,3 ,6 ,4 ,4 ,5 ,3 ,4 ,3 ,7 ,2 ,6
Nayarit ,10.67 ,105 ,13 ,9 ,4 ,5 ,9 ,10 ,4 ,8 ,10 ,17 ,5 ,11
Nuevo León ,14.13 ,581 ,37 ,24 ,34 ,43 ,81 ,36 ,40 ,51 ,44 ,67 ,69 ,55
Oaxaca ,13.11 ,481 ,39 ,32 ,32 ,50 ,30 ,44 ,44 ,30 ,51 ,50 ,38 ,41
Puebla ,6.16 ,334 ,22 ,17 ,20 ,35 ,21 ,25 ,22 ,26 ,28 ,41 ,60 ,17
Querétaro ,11.14 ,172 ,11 ,10 ,9 ,26 ,10 ,27 ,17 ,21 ,12 ,14 ,9 ,6
Quintana Roo ,12.22 ,124 ,7 ,15 ,14 ,14 ,15 ,8 ,15 ,3 ,9 ,5 ,9 ,10
San Luis Potosi ,7.88 ,188 ,22 ,11 ,14 ,23 ,22 ,31 ,14 ,17 ,12 ,10 ,6 ,6
Sinaloa ,5.62 ,153 ,18 ,12 ,18 ,9 ,8 ,16 ,10 ,15 ,9 ,16 ,15 ,7
Sonora ,0.21 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0
Tabasco ,13.16 ,266 ,48 ,32 ,15 ,19 ,17 ,28 ,16 ,19 ,37 ,16 ,11 ,8
Tamaulipas ,10.40 ,317 ,21 ,20 ,43 ,31 ,33 ,40 ,55 ,38 ,7 ,25 ,3 ,1
Tlaxcala ,5.58 ,58 ,1 ,5 ,6 ,5 ,5 ,10 ,3 ,6 ,2 ,6 ,7 ,2
Veracruz ,5.64 ,409 ,24 ,51 ,32 ,34 ,35 ,25 ,36 ,22 ,20 ,50 ,63 ,17
Yucatán ,7.27 ,128 ,12 ,14 ,6 ,9 ,7 ,3 ,11 ,6 ,19 ,15 ,13 ,13
Zacatecas ,21.09 ,298 ,12 ,3 ,17 ,30 ,36 ,24 ,24 ,11 ,28 ,39 ,38 ,36
TOTAL GLOBAL ,11.58 ,12073 ,971 ,783 ,788 ,1055 ,926 ,1114 ,1187 ,1066 ,1031 ,1285 ,1104 ,763
