Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,3
Baja California ,32 ,0 ,4 ,1 ,3 ,2 ,2 ,3 ,3 ,5 ,2 ,4 ,3
Baja California Sur ,62 ,7 ,2 ,0 ,3 ,3 ,21 ,6 ,4 ,1 ,13 ,1 ,1
Campeche ,175 ,20 ,17 ,12 ,11 ,12 ,15 ,38 ,16 ,9 ,19 ,4 ,2
Coahuila ,37 ,3 ,4 ,0 ,2 ,0 ,15 ,6 ,0 ,2 ,3 ,2 ,0
Colima ,20 ,4 ,0 ,0 ,0 ,5 ,8 ,0 ,0 ,2 ,0 ,1 ,0
Chiapas ,122 ,14 ,7 ,6 ,13 ,19 ,21 ,7 ,1 ,5 ,18 ,9 ,2
Chihuahua ,1 296 ,94 ,101 ,109 ,93 ,139 ,152 ,141 ,95 ,94 ,140 ,79 ,59
Distrito Federal ,163 ,12 ,17 ,6 ,11 ,22 ,14 ,12 ,8 ,10 ,21 ,12 ,18
Durango ,142 ,7 ,10 ,5 ,11 ,19 ,16 ,10 ,14 ,16 ,22 ,8 ,4
Guanajuato ,425 ,63 ,35 ,45 ,61 ,51 ,15 ,26 ,30 ,11 ,31 ,45 ,12
Guerrero ,128 ,17 ,11 ,26 ,17 ,28 ,2 ,6 ,1 ,5 ,6 ,3 ,6
Hidalgo ,405 ,40 ,24 ,34 ,40 ,44 ,32 ,42 ,24 ,21 ,42 ,40 ,22
Jalisco ,766 ,75 ,58 ,66 ,66 ,88 ,71 ,69 ,58 ,42 ,79 ,67 ,27
México ,1 165 ,64 ,63 ,79 ,60 ,92 ,77 ,60 ,133 ,149 ,180 ,96 ,112
Michoacán ,149 ,13 ,10 ,14 ,21 ,26 ,9 ,10 ,11 ,6 ,8 ,12 ,9
Morelos ,46 ,3 ,0 ,4 ,3 ,2 ,1 ,8 ,2 ,12 ,8 ,2 ,1
Nayarit ,24 ,4 ,3 ,2 ,3 ,1 ,0 ,1 ,1 ,1 ,3 ,2 ,3
Nuevo León ,60 ,5 ,15 ,5 ,0 ,3 ,3 ,1 ,3 ,7 ,11 ,4 ,3
Oaxaca ,62 ,10 ,7 ,3 ,4 ,8 ,3 ,6 ,5 ,1 ,5 ,5 ,5
Puebla ,146 ,19 ,5 ,26 ,20 ,24 ,17 ,8 ,8 ,6 ,5 ,5 ,3
Querétaro ,422 ,33 ,9 ,62 ,24 ,40 ,18 ,47 ,44 ,32 ,33 ,68 ,12
Quintana Roo ,179 ,4 ,1 ,8 ,39 ,27 ,30 ,23 ,11 ,3 ,21 ,9 ,3
San Luis Potosí ,16 ,0 ,1 ,0 ,1 ,6 ,3 ,2 ,2 ,1 ,0 ,0 ,0
Sinaloa ,52 ,2 ,4 ,1 ,12 ,6 ,6 ,0 ,9 ,4 ,2 ,4 ,2
Sonora ,61 ,8 ,5 ,11 ,6 ,2 ,5 ,2 ,7 ,6 ,2 ,3 ,4
Tabasco ,126 ,3 ,15 ,5 ,9 ,9 ,10 ,5 ,6 ,10 ,9 ,26 ,19
Tamaulipas ,38 ,6 ,2 ,2 ,5 ,14 ,3 ,2 ,0 ,1 ,0 ,1 ,2
Tlaxcala ,35 ,2 ,2 ,4 ,5 ,3 ,4 ,3 ,2 ,3 ,5 ,0 ,2
Veracruz ,425 ,22 ,21 ,27 ,16 ,42 ,38 ,55 ,43 ,52 ,42 ,27 ,40
Yucatán ,52 ,4 ,4 ,5 ,1 ,15 ,4 ,1 ,1 ,2 ,12 ,1 ,2
Zacatecas ,35 ,1 ,1 ,3 ,3 ,4 ,3 ,0 ,0 ,5 ,9 ,4 ,2
TOTAL GLOBAL ,6 871 ,559 ,458 ,571 ,563 ,756 ,618 ,600 ,542 ,525 ,751 ,545 ,383
