Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,13.74 ,  71 ,  2 ,  1 ,  1 ,  1 ,  2 ,  11 ,  8 ,  8 ,  4 ,  13 ,  14 ,  6
Baja California ,3.44 ,  53 ,  5 ,  0 ,  2 ,  0 ,  3 ,  1 ,  0 ,  27 ,  11 ,  3 ,  1 ,  0
Baja California Sur ,16.60 ,  44 ,  9 ,  5 ,  2 ,  3 ,  5 ,  5 ,  1 ,  2 ,  5 ,  5 ,  1 ,  1
Campeche ,21.03 ,  84 ,  10 ,  3 ,  9 ,  4 ,  9 ,  7 ,  3 ,  11 ,  4 ,  11 ,  7 ,  6
Coahuila ,1.54 ,  20 ,  0 ,  1 ,  1 ,  3 ,  1 ,  1 ,  1 ,  5 ,  3 ,  2 ,  1 ,  1
Colima ,4.68 ,  14 ,  1 ,  0 ,  0 ,  2 ,  1 ,  1 ,  0 ,  0 ,  2 ,  4 ,  3 ,  0
Chiapas ,3.78 ,  85 ,  10 ,  8 ,  17 ,  5 ,  8 ,  5 ,  2 ,  11 ,  4 ,  5 ,  2 ,  8
Chihuahua ,17.88 ,  316 ,  10 ,  24 ,  38 ,  28 ,  48 ,  24 ,  14 ,  33 ,  21 ,  26 ,  21 ,  29
Distrito Federal ,5.04 ,  216 ,  14 ,  21 ,  17 ,  16 ,  18 ,  15 ,  15 ,  14 ,  23 ,  28 ,  25 ,  10
Durango ,4.52 ,  35 ,  4 ,  1 ,  10 ,  3 ,  7 ,  0 ,  3 ,  2 ,  1 ,  0 ,  3 ,  1
Guanajuato ,1.53 ,  38 ,  0 ,  1 ,  5 ,  2 ,  1 ,  4 ,  5 ,  5 ,  3 ,  9 ,  3 ,  0
Guerrero ,3.51 ,  57 ,  0 ,  2 ,  7 ,  2 ,  4 ,  9 ,  1 ,  6 ,  5 ,  16 ,  3 ,  2
Hidalgo ,31.34 ,  371 ,  19 ,  17 ,  35 ,  36 ,  42 ,  49 ,  23 ,  42 ,  34 ,  35 ,  23 ,  16
Jalisco ,18.36 ,  626 ,  35 ,  49 ,  36 ,  77 ,  69 ,  80 ,  84 ,  48 ,  35 ,  57 ,  35 ,  21
México ,1.90 ,  141 ,  13 ,  13 ,  8 ,  14 ,  18 ,  14 ,  7 ,  11 ,  10 ,  18 ,  10 ,  5
Michoacán ,4.63 ,  96 ,  10 ,  7 ,  11 ,  3 ,  11 ,  9 ,  11 ,  2 ,  9 ,  16 ,  4 ,  3
Morelos ,8.25 ,  71 ,  2 ,  7 ,  4 ,  9 ,  4 ,  12 ,  7 ,  2 ,  2 ,  13 ,  7 ,  2
Nayarit ,19.13 ,  97 ,  25 ,  16 ,  18 ,  6 ,  5 ,  2 ,  3 ,  5 ,  3 ,  5 ,  5 ,  4
Nuevo León ,5.63 ,  122 ,  14 ,  2 ,  7 ,  0 ,  14 ,  12 ,  2 ,  13 ,  4 ,  31 ,  15 ,  8
Oaxaca ,4.19 ,  77 ,  10 ,  7 ,  7 ,  10 ,  11 ,  4 ,  6 ,  5 ,  4 ,  6 ,  2 ,  5
Puebla ,1.96 ,  54 ,  4 ,  1 ,  2 ,  1 ,  8 ,  1 ,  0 ,  7 ,  16 ,  4 ,  5 ,  5
Querétaro ,1.61 ,  13 ,  1 ,  0 ,  1 ,  0 ,  6 ,  1 ,  1 ,  1 ,  1 ,  1 ,  0 ,  0
Quintana Roo ,6.85 ,  40 ,  3 ,  4 ,  4 ,  4 ,  1 ,  6 ,  2 ,  2 ,  3 ,  5 ,  3 ,  3
San Luis Potosí ,1.51 ,  18 ,  3 ,  2 ,  2 ,  2 ,  1 ,  1 ,  1 ,  3 ,  2 ,  1 ,  0 ,  0
Sinaloa ,2.83 ,  40 ,  1 ,  5 ,  4 ,  2 ,  6 ,  3 ,  4 ,  3 ,  3 ,  3 ,  4 ,  2
Sonora ,6.55 ,  84 ,  3 ,  2 ,  2 ,  4 ,  3 ,  6 ,  9 ,  9 ,  8 ,  18 ,  16 ,  4
Tabasco ,8.19 ,  86 ,  17 ,  6 ,  7 ,  7 ,  8 ,  3 ,  5 ,  8 ,  5 ,  16 ,  2 ,  2
Tamaulipas ,1.36 ,  22 ,  1 ,  0 ,  3 ,  1 ,  4 ,  0 ,  2 ,  3 ,  4 ,  2 ,  1 ,  1
Tlaxcala ,3.51 ,  19 ,  2 ,  0 ,  4 ,  0 ,  0 ,  2 ,  2 ,  4 ,  2 ,  3 ,  0 ,  0
Veracruz ,1.69 ,  61 ,  4 ,  4 ,  1 ,  3 ,  10 ,  9 ,  5 ,  6 ,  2 ,  7 ,  5 ,  5
Yucatán ,2.74 ,  25 ,  6 ,  2 ,  2 ,  0 ,  3 ,  1 ,  0 ,  4 ,  0 ,  6 ,  0 ,  1
Zacatecas ,8.24 ,  57 ,  7 ,  8 ,  9 ,  6 ,  10 ,  4 ,  3 ,  2 ,  3 ,  2 ,  2 ,  1
TOTAL GLOBAL ,5.90 , 3 153 ,  245 ,  219 ,  276 ,  254 ,  341 ,  302 ,  230 ,  304 ,  236 ,  371 ,  223 ,  152
