Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,44.79 ,  243 ,  7 ,  7 ,  7 ,  5 ,  7 ,  15 ,  26 ,  49 ,  34 ,  34 ,  30 ,  22
Baja California ,9.48 ,  141 ,  18 ,  3 ,  3 ,  2 ,  11 ,  4 ,  7 ,  43 ,  14 ,  22 ,  8 ,  6
Baja California Sur ,84.66 ,  212 ,  18 ,  12 ,  17 ,  15 ,  24 ,  23 ,  18 ,  17 ,  18 ,  20 ,  10 ,  20
Campeche ,38.06 ,  148 ,  15 ,  8 ,  12 ,  6 ,  15 ,  11 ,  11 ,  20 ,  14 ,  14 ,  13 ,  9
Coahuila ,7.83 ,  100 ,  11 ,  6 ,  5 ,  10 ,  13 ,  13 ,  2 ,  7 ,  6 ,  15 ,  8 ,  4
Colima ,65.83 ,  197 ,  0 ,  3 ,  1 ,  4 ,  3 ,  22 ,  34 ,  40 ,  26 ,  34 ,  17 ,  13
Chiapas ,13.78 ,  307 ,  44 ,  24 ,  21 ,  29 ,  37 ,  16 ,  26 ,  33 ,  20 ,  21 ,  15 ,  21
Chihuahua ,52.28 ,  901 ,  41 ,  75 ,  83 ,  51 ,  82 ,  77 ,  109 ,  117 ,  43 ,  82 ,  83 ,  58
Distrito Federal ,16.74 ,  758 ,  43 ,  79 ,  81 ,  49 ,  84 ,  62 ,  61 ,  51 ,  66 ,  76 ,  62 ,  44
Durango ,11.98 ,  94 ,  6 ,  6 ,  13 ,  8 ,  12 ,  11 ,  7 ,  4 ,  11 ,  5 ,  9 ,  2
Guanajuato ,9.74 ,  255 ,  7 ,  4 ,  6 ,  13 ,  14 ,  21 ,  10 ,  32 ,  35 ,  53 ,  27 ,  33
Guerrero ,9.29 ,  153 ,  8 ,  9 ,  8 ,  14 ,  19 ,  6 ,  12 ,  11 ,  13 ,  22 ,  19 ,  12
Hidalgo ,119.88 , 1 468 ,  52 ,  80 ,  93 ,  94 ,  126 ,  149 ,  173 ,  255 ,  160 ,  157 ,  94 ,  35
Jalisco ,50.66 , 1 752 ,  65 ,  95 ,  98 ,  122 ,  261 ,  216 ,  181 ,  160 ,  165 ,  183 ,  127 ,  79
México ,4.76 ,  355 ,  32 ,  43 ,  23 ,  23 ,  48 ,  36 ,  25 ,  17 ,  35 ,  35 ,  15 ,  23
Michoacán ,26.44 ,  573 ,  60 ,  63 ,  60 ,  48 ,  42 ,  48 ,  38 ,  72 ,  34 ,  56 ,  25 ,  27
Morelos ,27.99 ,  245 ,  14 ,  27 ,  37 ,  26 ,  13 ,  30 ,  19 ,  11 ,  19 ,  29 ,  15 ,  5
Nayarit ,93.97 ,  467 ,  58 ,  69 ,  59 ,  26 ,  43 ,  22 ,  30 ,  43 ,  35 ,  31 ,  29 ,  22
Nuevo León ,26.65 ,  570 ,  39 ,  34 ,  52 ,  23 ,  29 ,  47 ,  52 ,  60 ,  33 ,  120 ,  51 ,  30
Oaxaca ,22.45 ,  427 ,  37 ,  35 ,  36 ,  35 ,  59 ,  31 ,  25 ,  50 ,  30 ,  32 ,  21 ,  36
Puebla ,8.75 ,  248 ,  10 ,  7 ,  15 ,  17 ,  20 ,  16 ,  19 ,  29 ,  36 ,  34 ,  24 ,  21
Querétaro ,11.09 ,  91 ,  5 ,  3 ,  7 ,  6 ,  14 ,  6 ,  11 ,  9 ,  9 ,  11 ,  7 ,  3
Quintana Roo ,17.77 ,  97 ,  9 ,  5 ,  9 ,  6 ,  7 ,  6 ,  12 ,  9 ,  5 ,  15 ,  5 ,  9
San Luis Potosí ,7.42 ,  91 ,  8 ,  5 ,  11 ,  8 ,  12 ,  9 ,  8 ,  9 ,  2 ,  12 ,  3 ,  4
Sinaloa ,7.98 ,  110 ,  8 ,  7 ,  8 ,  3 ,  21 ,  18 ,  9 ,  7 ,  8 ,  10 ,  7 ,  4
Sonora ,15.28 ,  190 ,  9 ,  22 ,  18 ,  21 ,  24 ,  23 ,  9 ,  12 ,  17 ,  15 ,  13 ,  7
Tabasco ,27.14 ,  283 ,  14 ,  9 ,  16 ,  24 ,  31 ,  16 ,  39 ,  37 ,  34 ,  33 ,  21 ,  9
Tamaulipas ,4.75 ,  76 ,  5 ,  4 ,  6 ,  8 ,  7 ,  7 ,  2 ,  10 ,  11 ,  10 ,  4 ,  2
Tlaxcala ,30.28 ,  166 ,  11 ,  10 ,  17 ,  3 ,  4 ,  14 ,  19 ,  23 ,  24 ,  21 ,  17 ,  3
Veracruz ,6.65 ,  246 ,  12 ,  14 ,  25 ,  23 ,  30 ,  17 ,  18 ,  26 ,  25 ,  23 ,  20 ,  13
Yucatán ,48.52 ,  445 ,  12 ,  16 ,  19 ,  30 ,  40 ,  44 ,  36 ,  40 ,  68 ,  54 ,  35 ,  51
Zacatecas ,130.35 ,  947 ,  29 ,  92 ,  106 ,  95 ,  112 ,  91 ,  74 ,  68 ,  90 ,  76 ,  67 ,  47
TOTAL GLOBAL ,22.85 , 12 356 ,  707 ,  876 ,  972 ,  847 , 1 264 , 1 127 , 1 122 , 1 371 , 1 140 , 1 355 ,  901 ,  674
