Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,29.64 ,314 ,9 ,8 ,8 ,6 ,9 ,26 ,34 ,57 ,38 ,47 ,44 ,28
Baja California ,6.41 ,194 ,23 ,3 ,5 ,2 ,14 ,5 ,7 ,70 ,25 ,25 ,9 ,6
Baja California Sur ,49.66 ,256 ,27 ,17 ,19 ,18 ,29 ,28 ,19 ,19 ,23 ,25 ,11 ,21
Campeche ,29.43 ,232 ,25 ,11 ,21 ,10 ,24 ,18 ,14 ,31 ,18 ,25 ,20 ,15
Coahuila ,4.66 ,120 ,11 ,7 ,6 ,13 ,14 ,14 ,3 ,12 ,9 ,17 ,9 ,5
Colima ,35.25 ,211 ,1 ,3 ,1 ,6 ,4 ,23 ,34 ,40 ,28 ,38 ,20 ,13
Chiapas ,8.76 ,392 ,54 ,32 ,38 ,34 ,45 ,21 ,28 ,44 ,24 ,26 ,17 ,29
Chihuahua ,34.86 ,1 217 ,51 ,99 ,121 ,79 ,130 ,101 ,123 ,150 ,64 ,108 ,104 ,87
Distrito Federal ,11.05 ,974 ,57 ,100 ,98 ,65 ,102 ,77 ,76 ,65 ,89 ,104 ,87 ,54
Durango ,8.27 ,129 ,10 ,7 ,23 ,11 ,19 ,11 ,10 ,6 ,12 ,5 ,12 ,3
Guanajuato ,5.74 ,293 ,7 ,5 ,11 ,15 ,15 ,25 ,15 ,37 ,38 ,62 ,30 ,33
Guerrero ,6.42 ,210 ,8 ,11 ,15 ,16 ,23 ,15 ,13 ,17 ,18 ,38 ,22 ,14
Hidalgo ,76.36 ,1 839 ,71 ,97 ,128 ,130 ,168 ,198 ,196 ,297 ,194 ,192 ,117 ,51
Jalisco ,34.62 ,2 378 ,100 ,144 ,134 ,199 ,330 ,296 ,265 ,208 ,200 ,240 ,162 ,100
México ,3.33 ,496 ,45 ,56 ,31 ,37 ,66 ,50 ,32 ,28 ,45 ,53 ,25 ,28
Michoacán ,15.78 ,669 ,70 ,70 ,71 ,51 ,53 ,57 ,49 ,74 ,43 ,72 ,29 ,30
Morelos ,18.20 ,316 ,16 ,34 ,41 ,35 ,17 ,42 ,26 ,13 ,21 ,42 ,22 ,7
Nayarit ,56.18 ,564 ,83 ,85 ,77 ,32 ,48 ,24 ,33 ,48 ,38 ,36 ,34 ,26
Nuevo León ,16.07 ,692 ,53 ,36 ,59 ,23 ,43 ,59 ,54 ,73 ,37 ,151 ,66 ,38
Oaxaca ,13.48 ,504 ,47 ,42 ,43 ,45 ,70 ,35 ,31 ,55 ,34 ,38 ,23 ,41
Puebla ,5.40 ,302 ,14 ,8 ,17 ,18 ,28 ,17 ,19 ,36 ,52 ,38 ,29 ,26
Querétaro ,6.38 ,104 ,6 ,3 ,8 ,6 ,20 ,7 ,12 ,10 ,10 ,12 ,7 ,3
Quintana Roo ,12.12 ,137 ,12 ,9 ,13 ,10 ,8 ,12 ,14 ,11 ,8 ,20 ,8 ,12
San Luis Potosí ,4.51 ,109 ,11 ,7 ,13 ,10 ,13 ,10 ,9 ,12 ,4 ,13 ,3 ,4
Sinaloa ,5.37 ,150 ,9 ,12 ,12 ,5 ,27 ,21 ,13 ,10 ,11 ,13 ,11 ,6
Sonora ,10.85 ,274 ,12 ,24 ,20 ,25 ,27 ,29 ,18 ,21 ,25 ,33 ,29 ,11
Tabasco ,17.63 ,369 ,31 ,15 ,23 ,31 ,39 ,19 ,44 ,45 ,39 ,49 ,23 ,11
Tamaulipas ,3.04 ,98 ,6 ,4 ,9 ,9 ,11 ,7 ,4 ,13 ,15 ,12 ,5 ,3
Tlaxcala ,16.99 ,185 ,13 ,10 ,21 ,3 ,4 ,16 ,21 ,27 ,26 ,24 ,17 ,3
Veracruz ,4.20 ,307 ,16 ,18 ,26 ,26 ,40 ,26 ,23 ,32 ,27 ,30 ,25 ,18
Yucatán ,25.67 ,470 ,18 ,18 ,21 ,30 ,43 ,45 ,36 ,44 ,68 ,60 ,35 ,52
Zacatecas ,70.81 ,1 004 ,36 ,100 ,115 ,101 ,122 ,95 ,77 ,70 ,93 ,78 ,69 ,48
TOTAL GLOBAL ,14.42 ,15 509 ,952 ,1 095 ,1 248 ,1 101 ,1 605 ,1 429 ,1 352 ,1 675 ,1 376 ,1 726 ,1 124 ,826
