Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,308 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,314
Baja California ,73 ,69 ,1 ,0 ,0 ,0 ,5 ,2 ,44 ,194
Baja California Sur ,225 ,0 ,21 ,0 ,0 ,0 ,10 ,0 ,0 ,256
Campeche ,201 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,29 ,232
Coahuila ,61 ,1 ,2 ,12 ,1 ,0 ,2 ,0 ,41 ,120
Colima ,207 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,211
Chiapas ,303 ,0 ,20 ,53 ,0 ,0 ,14 ,1 ,1 ,392
Chihuahua ,1 151 ,7 ,2 ,49 ,0 ,0 ,4 ,0 ,4 ,1 217
Distrito Federal ,585 ,1 ,347 ,0 ,4 ,0 ,34 ,0 ,3 ,974
Durango ,97 ,0 ,3 ,29 ,0 ,0 ,0 ,0 ,0 ,129
Guanajuato ,287 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,2 ,293
Guerrero ,200 ,1 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,210
Hidalgo ,1 591 ,0 ,1 ,24 ,222 ,0 ,1 ,0 ,0 ,1 839
Jalisco ,481 ,6 ,1 ,0 ,12 ,0 ,0 ,0 ,1 878 ,2 378
México ,220 ,19 ,0 ,0 ,233 ,0 ,10 ,0 ,14 ,496
Michoacán ,592 ,0 ,18 ,54 ,0 ,0 ,5 ,0 ,0 ,669
Morelos ,315 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,316
Nayarit ,479 ,3 ,5 ,13 ,62 ,0 ,0 ,0 ,2 ,564
Nuevo León ,383 ,7 ,0 ,2 ,0 ,3 ,0 ,0 ,297 ,692
Oaxaca ,351 ,2 ,3 ,93 ,44 ,6 ,2 ,0 ,3 ,504
Puebla ,179 ,9 ,1 ,24 ,43 ,0 ,11 ,0 ,35 ,302
Querétaro ,97 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,104
Quintana Roo ,125 ,2 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,137
San Luis Potosí ,80 ,3 ,2 ,16 ,0 ,0 ,0 ,0 ,8 ,109
Sinaloa ,64 ,1 ,1 ,3 ,63 ,0 ,11 ,0 ,7 ,150
Sonora ,261 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,274
Tabasco ,358 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,5 ,369
Tamaulipas ,71 ,1 ,3 ,15 ,1 ,0 ,5 ,0 ,2 ,98
Tlaxcala ,183 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,185
Veracruz ,236 ,6 ,2 ,57 ,4 ,0 ,0 ,2 ,0 ,307
Yucatán ,444 ,0 ,0 ,23 ,1 ,0 ,0 ,1 ,1 ,470
Zacatecas ,991 ,0 ,2 ,11 ,0 ,0 ,0 ,0 ,0 ,1 004
TOTAL GLOBAL ,11 199 ,145 ,464 ,480 ,691 ,10 ,116 ,10 ,2 394 ,15 509
