Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 58 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 64
Baja California , 54 , 9 , 2 , 1 , 0 , 0 , 3 , 1 , 82 , 152
Baja California Sur , 153 , 1 , 1 , 0 , 0 , 0 , 6 , 0 , 0 , 161
Campeche , 110 , 2 , 1 , 11 , 0 , 0 , 2 , 2 , 2 , 130
Coahuila , 24 , 0 , 2 , 4 , 0 , 0 , 0 , 0 , 26 , 56
Colima , 34 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 36
Chiapas , 194 , 0 , 15 , 85 , 0 , 0 , 33 , 0 , 2 , 329
Chihuahua , 789 , 27 , 0 , 28 , 0 , 0 , 17 , 0 , 14 , 875
Distrito Federal , 349 , 3 , 189 , 0 , 1 , 0 , 7 , 0 , 29 , 578
Durango , 40 , 0 , 2 , 11 , 0 , 0 , 2 , 0 , 2 , 57
Guanajuato , 95 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 3 , 102
Guerrero , 107 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 111
Hidalgo , 538 , 0 , 0 , 19 , 121 , 0 , 0 , 0 , 6 , 684
Jalisco , 334 , 0 , 1 , 0 , 188 , 0 , 0 , 0 , 2 079 , 2 602
México , 172 , 15 , 1 , 0 , 199 , 0 , 1 , 0 , 6 , 394
Michoacán , 373 , 0 , 1 , 46 , 0 , 0 , 5 , 1 , 0 , 426
Morelos , 180 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 180
Nayarit , 316 , 4 , 3 , 6 , 18 , 0 , 0 , 0 , 0 , 347
Nuevo León , 112 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 241 , 355
Oaxaca , 245 , 0 , 1 , 72 , 18 , 0 , 1 , 0 , 2 , 339
Puebla , 86 , 17 , 1 , 34 , 83 , 0 , 1 , 0 , 9 , 231
Querétaro , 61 , 1 , 4 , 0 , 2 , 0 , 0 , 0 , 4 , 72
Quintana Roo , 106 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 116
San Luis Potosí , 61 , 2 , 0 , 14 , 0 , 0 , 1 , 0 , 1 , 79
Sinaloa , 17 , 2 , 0 , 2 , 29 , 0 , 3 , 0 , 38 , 91
Sonora , 71 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 72
Tabasco , 222 , 13 , 0 , 0 , 0 , 6 , 0 , 0 , 5 , 246
Tamaulipas , 37 , 0 , 3 , 5 , 4 , 0 , 4 , 0 , 12 , 65
Tlaxcala , 225 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 228
Veracruz , 127 , 0 , 2 , 30 , 2 , 2 , 0 , 1 , 0 , 164
Yucatán , 121 , 0 , 3 , 13 , 0 , 0 , 3 , 0 , 0 , 140
Zacatecas , 148 , 0 , 2 , 22 , 0 , 0 , 0 , 0 , 0 , 172
TOTAL GLOBAL , 5 559 , 99 , 258 , 403 , 666 , 9 , 90 , 5 , 2 565 , 9 654
