Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,67 ,1 ,6 ,0 ,0  ,0 ,0 ,0 ,0 ,74
Baja California ,63 ,14 ,2 ,1 ,0  ,0 ,3 ,1 ,102 ,186
Baja California Sur ,176 ,1 ,2 ,0 ,0  ,0 ,8 ,0 ,0 ,187
Campeche ,167 ,2 ,1 ,12 ,0 ,0 ,10 ,2 ,35 ,229
Coahuila ,29 ,1 ,2 ,4 ,0 ,0 ,0 ,0 ,32 ,68
Colima ,45 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,50
Chiapas ,243 ,0 ,20 ,97 ,0 ,0 ,50 ,0 ,2 ,412
Chihuahua ,1 040 ,62 ,0 ,38 ,0 ,0 ,19 ,0 ,33 ,1 192
Distrito Federal ,444 ,3 ,242 ,0 ,1 ,0 ,9 ,0 ,52 ,751
Durango ,63 ,0 ,2 ,15 ,0 ,0 ,2 ,0 ,2 ,84
Guanajuato ,118 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,5 ,128
Guerrero ,166 ,2 ,4 ,0 ,0 ,0 ,2 ,0 ,0 ,174
Hidalgo ,614 ,0 ,0 ,20 ,250 ,0 ,1 ,0 ,6 ,891
Jalisco ,442 ,1 ,3 ,0 ,379 ,0 ,1 ,0 ,3 594 ,4 420
México ,213 ,17 ,1 ,0 ,343 ,0 ,1 ,0 ,12 ,587
Michoacán ,450 ,0 ,4 ,50 ,0 ,0 ,5 ,1 ,0 ,510
Morelos ,298 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,299
Nayarit ,364 ,4 ,3 ,10 ,18 ,0 ,0 ,0 ,0 ,399
Nuevo León ,151 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,250 ,404
Oaxaca ,284 ,0 ,1 ,83 ,24 ,0 ,1 ,0 ,4 ,397
Puebla ,103 ,22 ,1 ,36 ,137 ,0 ,1 ,0 ,15 ,315
Querétaro ,73 ,1 ,6 ,0 ,3 ,0 ,0 ,0 ,4 ,87
Quintana Roo ,178 ,2 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,192
San Luis Potosí ,72 ,2 ,0 ,14 ,0 ,0 ,1 ,0 ,1 ,90
Sinaloa ,22 ,2 ,1 ,3 ,31 ,0 ,3 ,0 ,60 ,122
Sonora ,88 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,89
Tabasco ,326 ,17 ,0 ,0 ,0 ,12 ,0 ,0 ,10 ,365
Tamaulipas ,63 ,1 ,3 ,5 ,5 ,0 ,5 ,0 ,14 ,96
Tlaxcala ,262 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,266
Veracruz ,198 ,0 ,6 ,30 ,2 ,6 ,1 ,1 ,0 ,244
Yucatán ,135 ,0 ,4 ,15 ,0 ,0 ,3 ,0 ,0 ,157
Zacatecas ,192 ,0 ,2 ,24 ,0 ,0 ,0 ,0 ,0 ,218
TOTAL GLOBAL ,7 149 ,160 ,335 ,457 ,1 195 ,19 ,127 ,6 ,4 235 ,13 683
