Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3
Baja California ,1 ,10 ,4 ,1 ,2 ,3 ,12 ,1 ,1 ,1 ,2 ,0 ,38
Baja California Sur ,3 ,1 ,2 ,2 ,3 ,0 ,13 ,4 ,2 ,0 ,0 ,0 ,30
Campeche ,0 ,1 ,2 ,1 ,15 ,25 ,50 ,9 ,0 ,1 ,2 ,0 ,106
Coahuila ,0 ,0 ,1 ,1 ,3 ,2 ,5 ,1 ,3 ,1 ,2 ,0 ,19
Colima ,0 ,0 ,1 ,1 ,1 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,7
Chiapas ,1 ,9 ,6 ,5 ,7 ,18 ,31 ,13 ,11 ,2 ,2 ,1 ,106
Chihuahua ,2 ,4 ,22 ,36 ,39 ,27 ,115 ,11 ,9 ,5 ,4 ,0 ,274
Distrito Federal ,1 ,9 ,24 ,28 ,22 ,11 ,28 ,4 ,4 ,3 ,4 ,0 ,138
Durango ,0 ,2 ,1 ,3 ,3 ,1 ,7 ,3 ,2 ,0 ,0 ,0 ,22
Guanajuato ,3 ,17 ,12 ,16 ,7 ,9 ,22 ,6 ,1 ,1 ,6 ,0 ,100
Guerrero ,1 ,4 ,14 ,17 ,7 ,7 ,18 ,5 ,6 ,4 ,4 ,0 ,87
Hidalgo ,11 ,40 ,40 ,49 ,8 ,9 ,35 ,10 ,7 ,2 ,2 ,0 ,213
Jalisco ,8 ,50 ,69 ,82 ,176 ,399 ,435 ,134 ,89 ,36 ,25 ,0 ,1503
México ,9 ,26 ,41 ,34 ,13 ,8 ,13 ,2 ,4 ,1 ,1 ,1 ,153
Michoacán ,2 ,2 ,7 ,10 ,10 ,15 ,27 ,1 ,2 ,0 ,4 ,0 ,80
Morelos ,1 ,2 ,5 ,7 ,1 ,0 ,9 ,0 ,1 ,3 ,1 ,1 ,31
Nayarit ,0 ,1 ,1 ,2 ,2 ,0 ,6 ,2 ,1 ,0 ,2 ,0 ,17
Nuevo León ,0 ,4 ,10 ,4 ,7 ,8 ,25 ,5 ,8 ,5 ,4 ,0 ,80
Oaxaca ,0 ,2 ,4 ,6 ,5 ,5 ,28 ,1 ,4 ,3 ,4 ,0 ,62
Puebla ,3 ,6 ,5 ,10 ,5 ,6 ,19 ,5 ,3 ,2 ,2 ,0 ,66
Querétaro ,0 ,1 ,4 ,4 ,2 ,0 ,8 ,2 ,3 ,0 ,0 ,0 ,24
Quintana Roo ,0 ,1 ,1 ,4 ,3 ,7 ,12 ,3 ,1 ,1 ,1 ,0 ,34
San Luis Potosí ,0 ,1 ,4 ,5 ,3 ,3 ,7 ,2 ,1 ,2 ,0 ,0 ,28
Sinaloa ,2 ,6 ,12 ,8 ,5 ,3 ,7 ,0 ,1 ,0 ,0 ,0 ,44
Sonora ,0 ,2 ,0 ,1 ,2 ,1 ,10 ,3 ,1 ,0 ,0 ,0 ,20
Tabasco ,0 ,3 ,9 ,5 ,15 ,11 ,25 ,8 ,7 ,2 ,3 ,0 ,88
Tamaulipas ,1 ,2 ,4 ,4 ,3 ,2 ,6 ,1 ,2 ,1 ,2 ,1 ,29
Tlaxcala ,0 ,1 ,3 ,3 ,3 ,3 ,3 ,1 ,1 ,1 ,1 ,0 ,20
Veracruz ,2 ,4 ,8 ,11 ,5 ,10 ,24 ,7 ,4 ,2 ,5 ,0 ,82
Yucatán ,1 ,9 ,4 ,1 ,2 ,3 ,4 ,2 ,1 ,0 ,2 ,0 ,29
Zacatecas ,0 ,3 ,3 ,5 ,5 ,8 ,4 ,5 ,2 ,0 ,1 ,0 ,36
T OTAL GLOBAL ,53 ,225 ,323 ,366 ,384 ,604 ,1011 ,251 ,183 ,79 ,86 ,4 ,3569
