Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,2 ,0 ,5 ,4 ,5 ,11 ,2 ,1 ,0 ,0 ,0 ,31
Baja California ,2 ,13 ,10 ,4 ,16 ,23 ,51 ,11 ,4 ,1 ,2 ,0 ,137
Baja California Sur ,4 ,3 ,3 ,4 ,21 ,34 ,102 ,9 ,7 ,0 ,3 ,0 ,190
Campeche ,0 ,2 ,3 ,4 ,28 ,49 ,111 ,12 ,3 ,1 ,3 ,0 ,216
Coahuila ,1 ,1 ,2 ,1 ,13 ,19 ,38 ,4 ,8 ,2 ,2 ,0 ,91
Colima ,0 ,0 ,2 ,1 ,3 ,6 ,24 ,0 ,2 ,1 ,0 ,0 ,39
Chiapas ,2 ,16 ,13 ,17 ,42 ,95 ,144 ,41 ,21 ,11 ,9 ,1 ,412
Chihuahua ,3 ,8 ,46 ,92 ,136 ,165 ,753 ,87 ,109 ,50 ,26 ,0 ,1475
Distrito Federal ,1 ,19 ,50 ,62 ,76 ,79 ,203 ,25 ,12 ,8 ,12 ,0 ,547
Durango ,0 ,2 ,1 ,5 ,12 ,13 ,36 ,6 ,4 ,0 ,2 ,0 ,81
Guanajuato ,6 ,27 ,21 ,25 ,21 ,30 ,79 ,16 ,5 ,4 ,17 ,1 ,252
Guerrero ,1 ,8 ,16 ,24 ,22 ,22 ,81 ,21 ,19 ,7 ,8 ,0 ,229
Hidalgo ,28 ,64 ,82 ,95 ,30 ,59 ,190 ,25 ,20 ,5 ,11 ,0 ,609
Jalisco ,19 ,104 ,136 ,198 ,524 ,983 ,1416 ,309 ,185 ,55 ,41 ,0 ,3970
México ,33 ,64 ,78 ,61 ,43 ,33 ,99 ,16 ,13 ,2 ,8 ,2 ,452
Michoacán ,3 ,4 ,14 ,21 ,44 ,75 ,178 ,14 ,22 ,5 ,12 ,2 ,394
Morelos ,2 ,4 ,10 ,13 ,16 ,19 ,64 ,12 ,8 ,8 ,3 ,1 ,160
Nayarit ,1 ,2 ,1 ,4 ,8 ,15 ,74 ,10 ,8 ,1 ,3 ,0 ,127
Nuevo León ,1 ,17 ,17 ,24 ,111 ,145 ,250 ,69 ,40 ,15 ,11 ,0 ,700
Oaxaca ,0 ,3 ,8 ,25 ,30 ,51 ,162 ,21 ,21 ,10 ,16 ,0 ,347
Puebla ,5 ,13 ,11 ,24 ,21 ,30 ,107 ,19 ,13 ,4 ,6 ,1 ,254
Querétaro ,1 ,2 ,7 ,7 ,9 ,9 ,45 ,6 ,6 ,0 ,1 ,0 ,93
Quintana Roo ,0 ,1 ,2 ,7 ,10 ,16 ,38 ,6 ,6 ,1 ,1 ,0 ,88
San Luis Potosí ,0 ,2 ,10 ,7 ,13 ,17 ,68 ,8 ,7 ,4 ,2 ,0 ,138
Sinaloa ,3 ,17 ,38 ,25 ,23 ,28 ,64 ,6 ,8 ,2 ,1 ,0 ,215
Sonora ,0 ,2 ,2 ,1 ,4 ,8 ,35 ,4 ,6 ,1 ,1 ,0 ,64
Tabasco ,0 ,6 ,12 ,14 ,32 ,45 ,107 ,16 ,15 ,4 ,3 ,0 ,254
Tamaulipas ,1 ,4 ,6 ,7 ,13 ,10 ,21 ,5 ,3 ,2 ,4 ,1 ,77
Tlaxcala ,0 ,5 ,9 ,9 ,14 ,25 ,59 ,7 ,7 ,2 ,1 ,0 ,138
Veracruz ,3 ,10 ,14 ,31 ,25 ,32 ,108 ,24 ,15 ,9 ,9 ,0 ,280
Yucatán ,1 ,13 ,4 ,8 ,12 ,24 ,52 ,11 ,6 ,0 ,4 ,0 ,135
Zacatecas ,1 ,6 ,16 ,21 ,53 ,49 ,67 ,30 ,18 ,10 ,4 ,0 ,275
TOTAL GLOBAL ,123 ,444 ,644 ,846 ,1429 ,2213 ,4837 ,852 ,622 ,225 ,226 ,9 ,12470
